parent,definition,children,translation,label
simple closed curve,a closed curve that does not intersect itself,loop,Цикл,-1
great circle,-,meridian,верхушка,-1
sense organ,-,organ of hearing,Орган слуха,-1
sexual desire,-,amorousness,влюбчивость,-1
bottle,the quantity contained in a bottle,split,разбивка,-1
reception room,a room for receiving and entertaining visitors (as in a private house or hotel),"drawing room,parlor","гостиная,салон",-1
Irish person,-,Irishman,Ирландец,-1
reed stop,an organ stop with the tone of a reed instrument,vox humana,vox humana,-1
adoption,the act of accepting with approval; favorable reception,embrace,заключать в себе,-1
head of household,the head of a household or family or tribe,matriarch,matriarch,-1
"butter,margarine",an edible emulsion of fat globules made by churning milk or cream; for cooking and table use,stick,зубчик,-1
water rat,any of various amphibious rats,beaver rat,бобровая крыса,-1
right,those who support political or social or economic conservatism; those who believe that things are better left unchanged,"hard right,religious right","крайне правые,религиозные правые",-1
gender,a grammatical category in inflected languages governing the agreement between nouns and pronouns and adjectives; in some languages it is quite arbitrary but in Indo-European languages it is usually based on sex or animateness,"feminine,masculine,neuter","женский,мужской,средний",-1
socialist,-,communist,Коммунистический,-1
board game,-,pachisi,pachisi,-1
conversation,-,tete-a-tete,тет-а-тет,-1
angiosperm,-,wildflower,полевой цветок,-1
covering material,-,plaster,пластырь,-1
social worker,someone employed to provide social services (especially to the disadvantaged),almoner,almoner,-1
alloy steel,-,tool steel,инструментальная сталь ,-1
"aldehyde,gas",any of a class of highly reactive chemical compounds; used in making resins and dyes and organic acids,formaldehyde,формальдегид,-1
leverage,strategic advantage; power to act effectively,bargaining chip,козырь,-1
hotel,-,resort,РАЗВЛЕКАТЕЛЬНЫЙ ТУРИСТИЧЕСКИЙ КОМПЛЕКС,-1
milkweed,any of numerous plants of the genus Asclepias having milky juice and pods that split open releasing seeds with downy tufts,"Mead's milkweed,white milkweed,blood flower,poke milkweed,swamp milkweed","Молочай из медовухи,белый молочай,кровавый цветок, молочай из медовухи,болотный молочай",-1
knitting stitch,a stitch taken in knitting,"garter stitch,knit,purl,stockinette stitch","подвязочный стежок,трикотаж, выводок,чулочный стежок",-1
Semite,-,Babylonian,Вавилонский,-1
antiferromagnetism,magnetic field creates parallel but opposing spins; varies with temperature,ferrimagnetism,ферримагнетизм,-1
rattlesnake,-,timber rattlesnake,древесная гремучая змея,-1
cylinder,a surface generated by rotating a parallel line around a fixed line,"barrel,brake drum,pipe,shank,shank,shank,stalactite,stalagmite","ствол,тормозной барабан,труба,хвостовик,хвостовик,хвостовик,сталактит,сталагмит",-1
transportation company,a company providing transportation,bus company,автобусная компания,-1
temper,a disposition to exhibit uncontrolled anger,querulousness,Истец,-1
reaction,doing something in opposition to another way of doing it that you don't like,backlash,люфт,-1
drop,a small indefinite quantity (especially of a liquid); ; ; ; --Kipling,"droplet,eyedrop","капля, глазная капля",-1
extraversion,(psychology) an extroverted disposition; concern with what is outside the self,outwardness,наружность,-1
sandwich,-,hotdog,Хот-дог,-1
laureate,someone honored for great achievements; figuratively someone crowned with a laurel wreath,Nobelist,Нобелевский лауре,-1
chromatic color,-,yellow,жёлтый,-1
"moment,inertia",a turning force produced by an object acting at a distance (or a measure of that force),moment of inertia,момент инерции,-1
electric heater,a small electric space heater,heat lamp,Нагревательная лампа,-1
bird of prey,-,vulture,гриф,-1
matter,a vaguely specified concern,least,наименьший,-1
sausage,-,pork sausage,свиная колбаса,-1
seasnail,any of several creeping marine gastropods with a spirally coiled shell: whelks; tritons; moon shells; neritids,"moon shell,periwinkle,triton,whelk","лунная оболочка,барвинок,тритон,рот",-1
one-step,an early ballroom dance; precursor to the fox-trot,turkey trot,индейка рысь,-1
transportation company,a company providing transportation,bus company,автобусная компания,-1
self-pollination,fertilization by transfer of pollen from the anthers to the stigma of the same flower,cleistogamy,Клейстогамия,-1
gonadotropin,hormone secreted by the anterior pituitary gland and placenta; stimulates the gonads and controls reproductive activity,"follicle-stimulating hormone,human chorionic gonadotropin,luteinizing hormone,prolactin","фолликулостимулирующий гормон,хорионический гонадотропин человека,лютеинизирующий гормон,пролактин",-1
sugar,-,granulated sugar,сахарный песок,-1
mixture,-,suspension,суспензией,-1
rail technology,the activity of designing and constructing and operating railroads,magnetic levitation,магнитная левитация,-1
electromagnet,a temporary magnet made by coiling wire around an iron core; when current flows in the coil the iron becomes a magnet,magnetic head,Срок службы магнитной  головки,-1
naval officer,an officer in the navy,naval commander,командующий военно-морским флотом,-1
nursery,a child's room for a baby,day nursery,day-nursery,-1
sonnet,a verse form consisting of 14 lines with a fixed rhyme scheme,Shakespearean sonnet,Шекспировский сонет,-1
quad,(printing) a block of type without a raised letter; used for spacing between words or sentences,hair space,пространство для волос,-1
chaos,a state of extreme confusion and disorder,balagan,балаган,-1
worker,sterile member of a colony of social insects that forages for food and cares for the larvae,soldier,солдат,-1
reference book,-,wordbook,wordbook,-1
sweet pickle,pickle cured in brine and preserved in sugar and vinegar,bread and butter pickle,,-1
storage medium,a medium for storing information,magnetic storage medium,,-1
electromagnet,a temporary magnet made by coiling wire around an iron core; when current flows in the coil the iron becomes a magnet,magnetic head,Срок службы магнитной  головки,-1
hand shovel,-,spade,,-1
heavier-than-air craft,-,warplane,,-1
scale,an ordered reference standard,"Beaufort scale,logarithmic scale,Mercalli scale,Mohs scale,moment magnitude scale,Richter scale","Шкала Бофорта,логарифмическая шкала, шкала Меркалли, шкала Мооса, шкала величины момента, шкала Рихтера",-1
kidney disease,a disease affecting the kidneys,"nephrosclerosis,polycystic kidney disease,polyuria,renal insufficiency","нефросклероз,поликистоз почек,полиурия,почечная недостаточность",-1
antiferromagnetism,magnetic field creates parallel but opposing spins; varies with temperature,ferrimagnetism,ферримагнетизм,-1
mooring,(nautical) a line that holds an object (especially a boat) in place,headfast,headfast,-1
diffraction grating,optical device consisting of a surface with many parallel grooves in it; disperses a beam of light (or other electromagnetic radiation) into its wavelengths to produce its spectrum,echelon,Левый пеленг,-1
sole,lean flesh of any of several flatfish,lemon sole,,-1
necktie,-,bow tie,,-1
auxiliary verb,"a verb that combines with another verb in a verb phrase to help form tense, mood, voice, or condition of the verb it combines with",modal auxiliary verb,модальный вспомогательный глагол,-1
sailor,-,mariner,,-1
scientific instrument,-,magnifier,,-1
fish species,a species of fish,barramundi,,-1
dry unit,-,United States dry unit,,-1
game of chance,a game that involves gambling,"banking game,fantan,roulette",,-1
self-control,the trait of resolutely controlling your own behavior,"nerves,presence of mind",,-1
shading,graded markings that indicate light or shaded areas in a drawing or painting,hatch,люк,-1
carbonate,-,potassium carbonate,Карбонат калия,-1
calcium,a white metallic element that burns with a brilliant light; the fifth most abundant element in the earth's crust; an important component of most plants and animals,calcium ion,Кальций,-1
opportunity,-,occasion,. .,-1
packing,the enclosure of something in a package or box,bundling,интеграция,-1
lobster,flesh of a lobster,"American lobster,European lobster","Американский омар,европейский омар",-1
upper,piece of leather or synthetic material that forms the part of a shoe or boot above the sole that encases the foot,toe box,Лёгкая обувь,-1
negotiator,-,representative,представителем.,-1
water,binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent,"bath water,bilge,dishwater,distilled water,ground water,hard water,holy water,limewater,meltwater,slush,soft water,tap water,water of crystallization",,-1
decree,-,stay,побыть,-1
question,a sentence of inquiry that asks for a reply,"cross-question,leading question,yes-no question",,-1
domestic animal,-,domestic cat,,-1
claimant,someone who claims a benefit or right or title,Pretender,Претендент,-1
Catholicism,the beliefs and practices of a Catholic Church,"Eastern Catholicism,Romanism","Восточный католицизм,романизм",-1
copper,any of various small butterflies of the family Lycaenidae having coppery wings,American copper,Американская медь,-1
cytopenia,a deficiency of some cellular element of the blood,"hematocytopenia,pancytopenia",,-1
punishment,-,self-punishment,,-1
window shade,an opaque window blind that can cover or uncover a window,roller blind,,-1
receiver,set that receives radio or tv signals,"television receiver,satellite receiver",,-1
secretion,a functionally specialized substance (especially one that is not a waste) released from a gland or cell,"ganoin,intestinal juice,lacrimal secretion,musk,nectar,perspiration,pheromone,royal jelly,synovia","ганоин,кишечный сок,слезная секреция,мускус,нектар,пот,феромон,маточное молочко,синовия",-1
acetic acid,a colorless pungent liquid widely used in manufacturing plastics and pharmaceuticals,"acetum,trichloroacetic acid,vinegar",,-1
restaurant,-,teashop,чайник,-1
intelligibility,the quality of language that is comprehensible,readability,,-1
adjective,a word that expresses an attribute of something,"comparative,descriptive adjective,positive,superlative",,-1
playing card,-,suit,костюм,-1
margin,an amount beyond the minimum necessary,margin of safety,ПРОЧНАЯ ПРИБЫЛЬ ,-1
storage medium,a medium for storing information,magnetic storage medium,магнитный носитель информации,-1
compromise verdict,a verdict resulting from improper compromises between jurors on material issues,quotient verdict,,-1
woman's clothing,-,top,верх,-1
polymorphism,(chemistry) the existence of different kinds of crystal of the same chemical compound,dimorphism,,-1
trope,-,zeugma,,-1
thing,an event,feast,пир,-1
hymenopterous insect,-,wasp,wasp,-1
pace,the rate of moving (especially walking or running),"double time,quick time",,-1
coefficient,-,modulus,,-1
"performing arts,performance",arts or skills that require public performance,musical performance,Музыкальное представление,-1
sailing vessel,-,sloop,,-1
lactogen,any agent that enhances milk production,prolactin,,-1
arrogance,-,snobbery,Сноб,-1
appellate court,a court whose jurisdiction is to review decisions of lower courts or agencies,circuit court of appeals,окружной апелляционный суд,-1
illness,-,toxemia of pregnancy,"GESTOZ, OPG",-1
program,an announcement of the events that will occur as part of a theatrical or sporting event,racecard,гоночная карта,-1
fur seal,an eared seal of the northern Pacific,Alaska fur seal,Морской котик Аляски,-1
rescue,-,redemption,выкуп,-1
fang,an appendage of insects that is capable of injecting venom; usually evolved from the legs,toxicognath,toxicognath,-1
nerve,-,spinal nerve,SPINNOMOZGOVYE NERVY,-1
green tea,tea leaves that have been steamed and dried without fermenting,hyson,hyson,-1
safety belt,belt attaching you to some object as a restraint in order to prevent you from getting hurt,seat belt,,-1
crane,large long-necked wading bird of marshes and plains in many parts of the world,whooping crane,колючий кран,-1
stonework,masonry done with stone,cyclopean masonry,Циклопическая кладка,-1
burial chamber,-,vault,,-1
infantry,an army unit consisting of soldiers who fight on foot,paratroops,десантники,-1
dilator,a drug that causes dilation,vasodilator,SOSUDORASSHIRIAIUSHCHIE SREDSTVA,-1
aquatic fern,-,clover fern,клеверный папоротник,-1
coordinate axis,one of the fixed reference lines of a coordinate system,"x-axis,y-axis,z-axis","ось x,ось y,ось z",-1
plastic bag,a bag made of thin plastic material,bin liner,,-1
scarabaeid beetle,-,melolonthid beetle,жук-мелолонтид,-1
hydroxybutyric acid,hydroxy derivative of butyric acid,beta-hydroxybutyric acid,3-GIDROKSIBUTIRAT,-1
gnat,any of various small biting flies: midges; biting midges; black flies; sand flies,"punkie,blackfly","панк,черная муха",-1
bile acid,any of the steroid acids generated in the liver and stored with bile,cholic acid,,-1
business department,a division of a business firm,"advertising department,plant department,parts department,purchasing department,sales department,service department","отдел рекламы,заводской отдел, отдел запчастей, отдел закупок, отдел продаж, отдел обслуживания",-1
stripe,a narrow marking of a different color or texture from the background,band,музыкальная группа,-1
hieroglyph,a writing system using picture symbols; used in ancient Egypt,hieratic,Иератическое письмо,-1
gift,-,present,,-1
nitta tree,any of several Old World tropical trees of the genus Parkia having heads of red or yellow flowers followed by pods usually containing edible seeds and pulp,Parkia javanica,Parkia javanica,-1
rifleman,a soldier whose weapon is a rifle,carbineer,Карабинер,-1
cruiser,a large fast warship; smaller than a battleship and larger than a destroyer,battle cruiser,линейный крейсер,-1
"index,margin",a numerical scale used to compare variables with one another or with some reference number,margin of safety,ПРОЧНАЯ ПРИБЫЛЬ ,-1
ink-jet printer,a printer that produces characters by projecting electrically charged droplets of ink,bubble jet printer,пузырьковый струйный принтер,-1
headdress,-,jewelled headdress,украшенный драгоценными камнями головной убор,-1
"bomber,stealth aircraft",a military aircraft that drops bombs during flight,stealth bomber,бомбардировщик-невидимка,-1
dungeon,a dark cell (usually underground) where prisoners can be confined,oubliette,,-1
bow,"a weapon for shooting arrows, composed of a curved piece of resilient wood with a taut cord to propel the arrow","crossbow,Cupid's bow,handbow,longbow","арбалет, лук купидона, ручной лук,длинный лук",-1
news item,an item in a newspaper,factoid,Фактоид,-1
reveler,a celebrant who shares in a noisy party,roisterer,roisterer,-1
honoring,conformity with law or custom or practice etc.,punctilio,punctilio,-1
possibility,a possible alternative,possible,возможно,-1
band,a range of frequencies between two limits,frequency band,диапазон частот,-1
monstera,any plant of the genus Monstera; often grown as houseplants,ceriman,,-1
"croquet equipment,mallet",sports equipment used in playing croquet,croquet mallet,,-1
handbook,-,manual,,-1
physique,-,body type,тип кузова,-1
instability,the quality or attribute of being unstable and irresolute,shakiness,,-1
record,an extreme attainment; the best (or worst) performance ever attested (as in a sport),"track record,world record",,-1
traffic control,control of the flow of traffic in a building or a city,point duty,точечная пошлина,-1
electrical phenomenon,-,induction,,-1
T cell,a small lymphocyte developed in the thymus; it orchestrates the immune system's response to infected or malignant cells,helper T cell,KHELPERY-INDUKTORY T-LIMFOTSITY,-1
hamburger,"a sandwich consisting of a fried cake of minced beef served on a bun, often with other ingredients",cheeseburger,,-1
large intestine,beginning with the cecum and ending with the rectum; includes the cecum and the colon and the rectum; extracts moisture from food residues which are later excreted as feces,colon,двоеточие,-1
fiction,-,story,,-1
crepe,a soft thin light fabric with a crinkled surface,"Canton crepe,crepe de Chine,marocain","Креп кантонский,креп китайский,марокканский",-1
spiderflower,any of various often strong-smelling plants of the genus Cleome having showy spider-shaped flowers,"spider flower,Rocky Mountain bee plant","цветок паука, пчелиное растение Скалистых гор",-1
workbasket,container for holding implements and materials for work (especially for sewing),sewing basket,швейная корзина,-1
train fare,the fare charged for traveling by train,subway fare,стоимость проезда в метро,-1
endocarditis,inflammation of the endocardium and heart valves,subacute bacterial endocarditis,ENDOKARDIT BASTERIAL&apos;NYI PODOSTRYI,-1
associate degree,a degree granted by a two-year college on successful completion of the undergraduates course of studies,Associate in Arts,,-1
gluten,a protein substance that remains when starch is removed from cereal grains; gives cohesiveness to dough,"corn gluten,wheat gluten",,-1
coraciiform bird,-,roller,,-1
analgesic,-,morphine,MORFIN,-1
major tranquilizer,-,diphenylbutyl piperidine,дифенилбутилпиперидин,-1
representation,the act of representing; standing in for someone or some group and speaking with authority in their behalf,proportional representation,Пропорциональное представительство,-1
unexchangeability,the quality of being incapable of exchange or interchange,incommutability,некоммутируемость,-1
mansard,a hip roof having two slopes on each side,French roof,Французская крыша,-1
Chemakuan,a group of Mosan languages spoken in Washington,Chemakum,Chemakum,-1
gastroenteritis,inflammation of the stomach and intestines; can be caused by Salmonella enteritidis,"cholera infantum,cholera morbus",,-1
physiological property,-,inanimateness,,-1
"analgesic,opiate",a medicine used to relieve pain,morphine,MORFIN,-1
Bahrainian monetary unit,monetary unit in Bahrain,Bahrain dinar,,-1
blockage,an obstruction in a pipe or tube,"breechblock,vapor lock","затвор,паровой шлюз",-1
"enzyme,coagulase",any of several complex proteins that are produced by cells and act as catalysts in specific biochemical reactions,rennin,KHIMOZIN,-1
protoplasm,-,cytoplasm,,-1
milk,produced by mammary glands of female mammals for feeding their young,colostrum,,-1
"tumor,angiopathy",an abnormal new mass of tissue that serves no purpose,angioma,,-1
comb,any of several tools for straightening fibers,hatchel,hatchel,-1
timekeeping,the act or process of determining the time,anachronism,,-1
baseball coach,a coach of baseball players,"batting coach,pitching coach",,-1
life science,-,medical science,MEDITSINA,-1
rug,-,shag rug,,-1
folk song,-,blues,,-1
psychoactive drug,-,hallucinogen,ПСИХОДИСЛЕПТИЧЕСКИЕ ВЕЩЕСТВА,-1
ineffectiveness,lacking the power to be effective,inefficacy,неэффективность,-1
order of the day,the order of business for an assembly on a given day,order paper,бумага для заказа,-1
hamburger,"a sandwich consisting of a fried cake of minced beef served on a bun, often with other ingredients",cheeseburger,Чизбургер,-1
"adjective,adverb",a word that expresses an attribute of something,superlative,превосходная степень,-1
crackle,the sharp sound of snapping noises,decrepitation,,-1
oppression,a feeling of being oppressed,weight,Масса,-1
train fare,the fare charged for traveling by train,subway fare,стоимость проезда в метро,-1
"paper,roofing material",a material made of cellulose pulp derived mainly from wood or rags or certain grasses,roofing paper,кровельная бумага,-1
common sense,sound practical judgment,logic,алгоритм,-1
genetic code,the ordering of nucleotides in DNA molecules that carries the genetic information in living cells,triplet code,,-1
meat pie,-,pasty,,-1
opiate,-,morphine,,-1
Iroquois,any member of the warlike North American Indian peoples formerly living in New York State; the Iroquois League were allies of the British during the American Revolution,"Cayuga,Cherokee,Erie,Mohawk,Oneida,Onondaga,Seneca,Tuscarora","Каюга,Чероки,Эри,Мохок,Онейда,Онондага,Сенека,Тускарора",-1
"military vehicle,tracked vehicle",vehicle used by the armed forces,half track,полугусеничный ход ,-1
thrombocytopenia,a blood disease characterized by an abnormally small number of platelets in the blood,essential thrombocytopenia,эссенциальная тромбоцитопения,-1
water rat,any of various amphibious rats,beaver rat,,-1
"poet,laureate",a writer of poems (the term is usually reserved for writers of good poetry),poet laureate,поэт-лауреат,-1
adverb,a word that modifies something other than a noun,"adverbial,comparative,positive,superlative",,-1
depository financial institution,-,thrift institution,сберегательное учреждение,-1
conserve,-,marmalade,,-1
social dancing,-,folk dancing,,-1
support column,a column that supports a heavy weight,lally,lally,-1
cabaret,a spot that is open late at night and that provides entertainment (as singers or dancers) as well as dancing and food and drink,honkytonk,,-1
timekeeping,the act or process of determining the time,anachronism,Анахронизм,-1
killifish,small mostly marine warm-water carp-like schooling fishes; used as bait or aquarium fishes or in mosquito control,"flagfish,mummichog","рыба-флаг,мумие",-1
anger,a strong emotion; a feeling that is oriented toward some real or supposed grievance,"dander,infuriation,huffiness,umbrage","перхоть,ярость,шумиха,умбраж",-1
"conductor,noble metal",a substance that readily conducts e.g. electricity and heat,silver,,-1
storage space,-,cupboard,посудный шкаф,-1
weight,an artifact that is heavy,"makeweight,paperweight,sinker",,-1
processional march,a march to be played for processions,funeral march,,-1
theism,-,polytheism,,-1
perfidy,betrayal of a trust,insidiousness,,-1
tightening,the act of making something tighter,take-up,ПРИЕМНОЕ УСТРОЙСТВО,-1
"gas,propellant",a fluid in the gaseous state having neither independent shape nor volume and being able to expand indefinitely,compressed gas,компримируемый газ,-1
drop,a central depository where things can be left or picked up,maildrop,MailDrop,-1
frozen dessert,-,split,,-1
chamois,a soft suede leather formerly from the skin of the chamois antelope but now from sheepskin,wash leather,,-1
unsaturated fatty acid,-,polyunsaturated fatty acid,,-1
rule,prescribed guide for conduct or action,"bylaw,canon,dictate,GIGO,golden rule,Miranda rule,rubric",,-1
wrecker,someone who demolishes or dismantles buildings as a job,"housewrecker,knacker","домработник,крахмал",-1
dispersion,the act of dispersing or diffusing something,crop-dusting,пылеулавливание,-1
manipulator,a person who handles things manually,twiddler,,-1
pistil,-,carpel,carpel,-1
writ,-,warrant,складская расписка; варрант; залоговое свидетельство; товарная квитанция; подписной сертификат,-1
polymerase,an enzyme that catalyzes the formation of new DNA and RNA from an existing strand of DNA or RNA,DNA polymerase,,-1
hairdo,-,wave,волна,-1
murre,black-and-white diving bird of northern seas,"common murre,thick-billed murre","обыкновенный мур,толстоклювый мур",-1
onion roll,yeast-raised roll flavored with onion,bialy,bialy,-1
