,Synset,Hypernym
5074,часовщик.n.1,мастер.n.2
5075,челнок.n.1,предприниматель.n.1
5076,частота в единицу времени.n.1,количество.n.1
5077,частота в единицу времени.n.1,физическая величина.n.1
5078,черенкование.n.1,прививка растений.n.1
5079,черенкование.n.1,отсадить растение.n.1
5080,черкеска.n.1,кафтан.n.1
5081,честолюбец.n.1,человек по характеру.n.1
5082,четырехлетняя годовщина.n.1,годовщина.n.1
5083,кукурузное зерно.n.1,зерно хлебных злаков.n.1
5084,обручальное кольцо.n.1,кольцо.n.1
5085,чистильщик.n.1,работник.n.1
5086,членовредительство.n.1,повредить.n.1
5087,членовредительство.n.1,самоповреждение.n.1
5088,членство в организации.n.1,отношение между сущностями.n.1
5089,аккуратно выполненный.n.1,тщательный.n.1
5090,чистюля.n.1,аккуратный человек.n.1
5091,аккуратный человек.n.1,человек по характеру.n.1
5092,распашонка.n.1,детская одежда.n.1
5093,чудо.n.1,предмет.n.2
5094,чудотворец.n.1,святой праведник.n.1
5095,чудотворец.n.1,человек по роли.n.1
5096,чудотворец.n.1,человек.n.1
5097,святой праведник.n.1,праведник.n.1
5098,чучело животного.n.1,фигура.n.1
5099,шаман.n.1,народный целитель.n.1
5100,шаман.n.1,волшебник.n.1
5101,шаман.n.1,язычник.n.1
5102,шаман.n.1,служитель культа.n.1
5103,швартовый канат.n.1,канат.n.1
5104,шестидесятилетие.n.1,годовщина.n.1
5105,шестидесятилетие.n.1,юбилей.n.1
5106,шестилетняя годовщина.n.1,годовщина.n.1
5107,шифровальщик.n.1,работник.n.1
5108,хлюпать носом.n.1,хлюпать.n.1
5109,шрапнель.n.1,артиллерийский снаряд.n.1
5110,шрапнель.n.1,снаряд.n.1
5111,штабель.n.1,линия.n.2
5112,штабист.n.1,офицер.n.1
5113,штативная стойка.n.1,подставка.n.1
5114,штативная стойка.n.1,опорная стойка.n.1
5115,штиль на море.n.1,безветренная погода.n.1
5116,штопор для открывания бутылок.n.1,стержень.n.1
5117,штопор для открывания бутылок.n.1,кухонная утварь.n.1
5118,белое вино.n.1,вино.n.1
5119,красное вино.n.1,вино.n.1
5120,шоколадная плитка.n.1,плитка.n.1
5121,шоколадная плитка.n.1,шоколад.n.1
5122,заваривание чая.n.1,заварить кипятком.n.1
5123,чайная заварка.n.1,чай.n.3
5124,шумиха.n.1,обсуждение.n.1
5125,шумиха.n.1,пересуды.n.1
5126,шхеры.n.1,остров.n.1
5127,вздыбиться.n.1,подняться.n.1
5128,эволюция.n.1,развитие.n.1
5129,эвфемизм.n.1,языковое выражение.n.1
5130,эвфемизм.n.1,иносказательное выражение.n.1
5131,экземпляр.n.1,физический объект.n.1
5132,эклектизм.n.1,поверхностный.n.1
5133,эклектизм.n.1,разнородный.n.1
5134,экскурс.n.1,исследование.n.1
5135,экскурс.n.1,объяснить.n.1
5136,экскурс.n.1,отступление от темы.n.1
5137,экспансивный.n.1,активный.n.1
5138,экспансивный.n.1,непосредственный.n.1
5139,электронщик.n.1,работник.n.1
5140,посланец.n.1,представитель интересов.n.1
5141,посланец.n.1,человек по роли.n.1
5142,эполеты.n.1,погон.n.1
5143,эвакуированное лицо.n.1,переселенец.n.1
5144,эвакуированное лицо.n.1,житель.n.1
5145,эвакуация автомобиля.n.1,тащить тяжелое.n.1
5146,автоэвакуатор.n.1,автоплатформа.n.1
5147,автоэвакуатор.n.1,автотягач.n.1
5148,автоэвакуатор.n.1,специальный автотранспорт.n.1
5149,среднемагистральный самолет.n.1,самолет.n.1
5150,ближнемагистральный самолет.n.1,самолет.n.1
5151,самолеты местных авиалиний.n.1,самолет.n.1
5152,гражданский самолет.n.1,самолет.n.1
5153,гражданский самолет.n.1,гражданское воздушное судно.n.1
5154,декрет.n.1,правовой документ.n.1
5155,палач.n.1,исполнитель.n.1
5156,палач.n.1,истязатель.n.1
5157,туристическая палатка.n.1,туристское снаряжение.n.1
5158,туристическая палатка.n.1,спортивный инвентарь.n.1
5159,режим продленного дня.n.1,режим работы.n.1
5160,спиртовой градус.n.1,относительная единица измерения.n.1
5161,относительная единица измерения.n.1,доля.n.1
5162,относительная единица измерения.n.1,единица измерения.n.1
5163,угловой градус.n.1,единица измерения угла.n.1
5164,единица измерения угла.n.1,единица измерения.n.1
5165,промилле.n.1,относительная единица измерения.n.1
5166,радиан.n.1,единица измерения угла.n.1
5167,парсек.n.1,единица длины.n.1
5168,парсек.n.1,астрономическая единица.n.1
5169,световой год.n.1,единица длины.n.1
5170,астрономическая единица.n.1,единица длины.n.1
5171,квадратный метр.n.1,единица площади.n.1
5172,ангстрем.n.1,единица длины.n.1
5173,единица измерения информации.n.1,единица измерения.n.1
5174,байт.n.1,единица измерения информации.n.1
5175,килобайт.n.1,единица измерения информации.n.1
5176,мегабайт.n.1,единица измерения информации.n.1
5177,этруски.n.1,племя.n.1
5178,эскадрон кавалерии.n.1,воинское подразделение.n.1
5179,эсминец.n.1,миноносец.n.1
5180,эсминец.n.1,надводное судно.n.1
5181,эсминец.n.1,противолодочный корабль.n.1
5182,этажерка.n.1,мебель.n.1
5183,сторона света.n.1,направление в пространстве.n.1
5184,север.n.1,сторона света.n.1
5185,юг.n.1,сторона света.n.1
5186,восток.n.1,сторона света.n.1
5187,запад.n.1,сторона света.n.1
5188,северянин.n.1,уроженец.n.1
5189,северянин.n.1,житель.n.1
5190,южанин.n.1,уроженец.n.1
5191,южанин.n.1,житель.n.1
5192,южная местность.n.1,место.n.1
5193,физик-ядерщик.n.1,физик.n.1
5194,ячея.n.1,отверстие.n.1
5195,ячея.n.1,углубление.n.1
5196,яхт-клуб.n.1,спортивный клуб.n.1
5197,бремя.n.1,роль.n.1
5198,ремонт вагонов.n.1,ремонт.n.1
5199,валки.n.1,деталь устройства.n.1
5200,устойчивый.n.1,физическое свойство.n.1
5201,валентность химического элемента.n.1,свойство.n.1
5202,дурачиться.n.1,произнести.n.1
5203,дурачиться.n.1,баловаться.n.1
5204,валяние из шерсти.n.1,сбить в плотную массу.n.1
5205,похлебка.n.1,суп.n.1
5206,лечебная ванна.n.1,физиопроцедура.n.1
5207,грязелечение.n.1,лечебная ванна.n.1
5208,грязелечение.n.1,санаторно-курортное лечение.n.1
5209,вахмистр.n.1,кавалерист.n.1
5210,вахмистр.n.1,фельдфебель.n.1
5211,варка.n.1,изготовить.n.1
5212,варка.n.1,термическая обработка.n.1
5213,ватерпас.n.1,угломер.n.1
5214,ватерпас.n.1,уровень.n.1
5215,сюзерен.n.1,феодал.n.1
5216,зависимое лицо.n.1,субъект деятельности.n.1
5217,вассал.n.1,феодал.n.1
5218,изменить состояние.n.1,принудить.n.1
5219,изменить состояние.n.1,вызвать.n.2
5220,ватка.n.1,кусок.n.1
5221,варикозное расширение вен.n.1,изменить.n.1
5222,варикозное расширение вен.n.1,расшириться.n.1
5223,варикозное расширение вен.n.1,портить.n.1
5224,варикозное расширение вен.n.1,сердечно-сосудистые заболевания.n.1
5225,вставка.n.1,добавление.n.1
5226,ввергнуть в состояние.n.1,изменить состояние.n.1
5227,ввергнуть в состояние.n.1,подвергнуть воздействию.n.1
5228,ведомость.n.1,периодическое издание.n.1
5229,ввод.n.1,техническое устройство.n.1
5230,ввод.n.1,отверстие.n.1
5231,ввод.n.1,деталь устройства.n.1
5232,ввести.n.1,привести к месту.n.1
5233,полукруг.n.1,форма.n.1
5234,полукруг.n.1,половина.n.1
5235,веерообразный.n.1,форма.n.1
5236,старая дева.n.1,взрослая женщина.n.1
5237,старая дева.n.1,незамужняя женщина.n.1
5238,выдающийся человек.n.1,знаменитость.n.1
5239,выдающийся человек.n.1,человек по способностям.n.1
5240,венгерка.n.1,бальный танец.n.1
5241,венгерка.n.1,народный танец.n.1
5242,сановник.n.1,авторитетный человек.n.1
5243,сановник.n.1,государственный служащий.n.1
5244,венчать.n.1,посвятить в звание.n.1
5245,венчать.n.1,торжественное возложение.n.1
5246,хорошие отношения.n.1,знакомство с человеком.n.1
5247,хорошие отношения.n.1,отношения между людьми.n.1
5248,близкие отношения.n.1,знакомство с человеком.n.1
5249,духота.n.1,вредные условия труда.n.1
5250,задымленность.n.1,вредные условия труда.n.1
5251,вертолетчик.n.1,летчик.n.1
5252,преступный притон.n.1,место в пространстве.n.1
5253,преступный притон.n.1,помещение.n.1
5254,обратиться.n.1,ментальный процесс.n.1
5255,верхоглядство.n.1,поверхностный.n.1
5256,верхогляд.n.1,человек по характеру.n.1
5257,веснушчатый.n.1,внешняя черта.n.1
5258,прокладка линии.n.1,создать.n.1
5259,вести.n.1,управлять.n.1
5260,вести.n.1,идти ногами.n.1
5261,ветошь.n.1,тряпка.n.1
5262,ветхий от старости.n.1,старый.n.1
5263,ветхий от старости.n.1,физическое свойство.n.1
5264,веха.n.1,этап процесса.n.1
5265,вершитель.n.1,человек по роли.n.1
5266,верстка.n.1,оттиск статьи.n.1
5267,верстка.n.1,корректурный оттиск.n.1
5268,оттиск статьи.n.1,брошюра.n.1
5269,веяние зерна.n.1,сельскохозяйственные работы.n.1
5270,веяние зерна.n.1,зерноочистка.n.1
5271,выделить из состава.n.1,удалить наружу.n.1
5272,веять.n.1,переместить.n.1
5273,веять.n.1,выпустить.n.3
5274,веять.n.1,выдохнуть.n.1
5275,канцлер германии.n.1,канцлер государства.n.1
5276,возложить ответственность.n.1,считать.n.1
5277,переложить ответственность.n.1,освободить от обязанности.n.1
5278,переложить ответственность.n.1,возложить ответственность.n.1
5279,взваливать ответственность.n.1,обременить.n.1
5280,взваливать ответственность.n.1,возложить ответственность.n.1
5281,взвод курка.n.1,приготовить.n.1
5282,вздернуть вверх.n.1,поднять.n.1
5283,взнуздать лошадь.n.1,надеть.n.1
5284,взойти над горизонтом.n.1,подняться.n.1
5285,взойти над горизонтом.n.1,появиться.n.1
5286,легкое ранение.n.1,рана.n.1
5287,тяжелое ранение.n.1,рана.n.1
5288,авиационный работник.n.1,транспортный работник.n.1
5289,авиационная дивизия.n.1,авиационная часть.n.1
5290,авиационная дивизия.n.1,дивизия.n.1
5291,камера хранения.n.1,помещение.n.1
5292,камера хранения.n.1,помещение для хранения.n.1
5293,автомобильная пробка.n.1,затор.n.1
5294,авиационный тариф.n.1,транспортный тариф.n.1
5295,рынок автомобилей.n.1,товарный рынок.n.1
5296,автошкола.n.1,курс обучения.n.1
5297,пенсионный вклад.n.1,накопительный вклад.n.1
5298,пенсионный вклад.n.1,именной вклад.n.1
5299,пенсионная документация.n.1,документ.n.1
5300,выборная должность.n.1,должность.n.1
5301,деталь автомобиля.n.1,деталь устройства.n.1
5302,деталь автомобиля.n.1,автомобильное оборудование.n.1
5303,автоклавирование.n.1,стерилизация.n.1
5304,космическая стыковка.n.1,стыковаться.n.1
5305,автосборщик.n.1,работник промышленности.n.1
5306,сборочный конвейер.n.1,производственный конвейер.n.1
5307,сельскохозяйственный институт.n.1,высшее учебное заведение.n.1
5308,ссыльный.n.1,лицо.n.2
5309,алмазодобывающая промышленность.n.1,горнодобывающая промышленность.n.1
5310,алмазодобывающая промышленность.n.1,алмазная промышленность.n.1
5311,альпинистское снаряжение.n.1,спортивный инвентарь.n.1
5312,ледоруб.n.1,топор.n.1
5313,ледоруб.n.1,альпинистское снаряжение.n.1
5314,альтернативщик.n.1,отказник от военной службы.n.1
5315,амбарный вредитель.n.1,вредитель растений.n.1
5316,амбарный вредитель.n.1,вредное насекомое.n.1
5317,энергетический тариф.n.1,тарифы на услуги.n.1
5318,щитовка.n.1,вредитель растений.n.1
5319,щитовка.n.1,вредное насекомое.n.1
5320,фристайл.n.1,горнолыжный спорт.n.1
5321,фристайл.n.1,зимние виды спорта.n.1
5322,фитотерапевт.n.1,терапевт.n.1
5323,финансовое преступление.n.1,финансовое нарушение.n.1
5324,финансовое преступление.n.1,преступление в сфере экономики.n.1
5325,фальсификация голосования.n.1,нарушение избирательного законодательства.n.1
5326,нарушение избирательного законодательства.n.1,правонарушение.n.1
5327,тройская унция.n.1,унция.n.1
5328,трансплантология.n.1,хирургия.n.1
5329,антикоммунист.n.1,последователь.n.1
5330,противомалярийные мероприятия.n.1,эпидемиологическая деятельность.n.1
5331,борьба с коррупцией.n.1,борьба с преступностью.n.1
5332,аптечная система.n.1,торговая сеть.n.1
5333,артиллерийский снаряд.n.1,снаряд.n.1
5334,артистическая деятельность.n.1,творческая деятельность.n.1
5335,аспирин.n.1,жаропонижающее средство.n.1
5336,атомщик.n.1,работник энергетики.n.1
5337,атропин.n.1,медикамент.n.1
5338,атропин.n.1,алкалоиды.n.1
5339,ацидофилин.n.1,кисломолочный напиток.n.1
5340,банковский сейф.n.1,банковское оборудование.n.1
5341,банковский сейф.n.1,сейф.n.1
5342,гиперинфляция.n.1,инфляция.n.1
5343,болгарский язык.n.1,южнославянские языки.n.1
5344,бытовое насекомое.n.1,насекомое.n.1
5345,стропальщик.n.1,рабочий.n.1
5346,возрастно-половая структура.n.1,состав населения.n.1
5347,источник загрязнения.n.1,исходный пункт.n.1
5348,работник промышленности.n.1,работник.n.1
5349,водопотребление.n.1,потреблять.n.1
5350,уровень бедности.n.1,уровень жизни.n.1
5351,калорийность еды.n.1,пищевая ценность.n.1
5352,пищевое вещество.n.1,органическое вещество.n.1
5353,дневная общеобразовательная школа.n.1,общеобразовательная школа.n.1
5354,учреждение дополнительного образования детей.n.1,учебное заведение.n.1
5355,дети.n.1,несовершеннолетние дети.n.1
5356,производственная мощность.n.1,экономический показатель.n.1
5357,посевная площадь.n.1,площадь.n.1
5358,посевная площадь.n.1,сельскохозяйственный показатель.n.1
5359,яйценоскость.n.1,сельскохозяйственная продуктивность.n.1
5360,гастрономия.n.1,продукты питания.n.1
5361,несельскохозяйственная деятельность.n.1,экономическая деятельность.n.1
5362,торгово-посредническая деятельность.n.1,торговля.n.1
5363,торгово-посредническая деятельность.n.1,посредническая деятельность.n.1
5364,ремонтно-строительные работы.n.1,ремонт.n.1
5365,ремонтно-строительные работы.n.1,строительные работы.n.1
5366,мелиоративный канал.n.1,канава.n.1
5367,мелиоративный канал.n.1,водоводный канал.n.1
5368,мелиоративный канал.n.1,мелиоративное сооружение.n.1
5369,подсобное помещение.n.1,помещение.n.1
5370,контейнерные перевозки.n.1,грузовые перевозки.n.1
5371,детское учреждение.n.1,здание социально-культурного назначения.n.1
5372,детское учреждение.n.1,социальное учреждение.n.1
5373,тепловая электростанция.n.1,электростанция.n.1
5374,коммерческие перевозки.n.1,транспортные перевозки.n.1
5375,коммерческие перевозки.n.1,частное предпринимательство.n.1
5376,автомобильный бензин.n.1,бензин.n.1
5377,автомобильный бензин.n.1,горюче-смазочные материалы.n.1
5378,вид транспорта.n.1,транспортная сфера.n.1
5379,энергетическая сеть.n.1,коммуникационная инфраструктура.n.1
5380,телефонный аппарат.n.1,телефонное оборудование.n.1
5381,импортный товар.n.1,товар.n.1
5382,послевузовское образование.n.1,профессиональное образование.n.1
5383,подготовка научных кадров.n.1,подготовить.n.1
5384,инновационно-активное предприятие.n.1,предприятие.n.2
5385,нефинансовые активы.n.1,активы.n.1
5386,воспроизводство рыбы.n.1,размножение животных.n.1
5387,воспроизводство рыбы.n.1,возобновление природных ресурсов.n.1
5388,индекс цен.n.1,индекс.n.3
5389,индекс цен.n.1,экономический показатель.n.1
5390,непродовольственные товары.n.1,потребительские товары.n.1
5391,непродовольственные товары.n.1,промышленная продукция.n.1
5392,непродовольственные товары.n.1,товар.n.1
5393,процентная ставка.n.1,ставка оплаты.n.1
5394,профицит бюджета.n.1,излишек.n.1
5395,профицит бюджета.n.1,положительное сальдо.n.1
5396,ломбардный кредит.n.1,кредитование под залог.n.1
5397,ломбардный кредит.n.1,краткосрочный кредит.n.1
5398,взаиморасчет.n.1,финансовые расчеты.n.1
5399,кредиторская задолженность.n.1,денежный долг.n.1
5400,социально-экономический показатель.n.1,показатель.n.1
5401,материнское молоко.n.1,молоко млекопитающих.n.1
5402,визирование.n.1,навести на цель.n.1
5403,визирование.n.1,геодезические работы.n.1
5404,визир.n.1,искатель.n.2
5405,визир.n.1,геодезическое оборудование.n.1
5406,викарий.n.1,служитель культа.n.1
5407,викинг.n.1,норманны.n.1
5408,викинг.n.1,воин.n.1
5409,виндсерфинг.n.1,экстремальные виды спорта.n.1
5410,виндсерфинг.n.1,парусный спорт.n.1
5411,вирши.n.1,стихотворение.n.1
5412,вираж.n.1,повернуть при движении.n.1
5413,вираж.n.1,наклониться.n.1
5414,достижения в деятельности.n.1,результат.n.1
5415,вклад.n.1,достижения в деятельности.n.1
5416,ораторствовать.n.1,выступить с речью.n.1
5417,ораторствовать.n.1,разглагольствовать.n.1
5418,кустарное производство.n.1,производство продукции.n.1
5419,кустарное производство.n.1,промысел.n.1
5420,винокурение.n.1,кустарное производство.n.1
5421,винокурение.n.1,производство крепких алкогольных напитков.n.1
5422,владеть умением.n.1,способность.n.1
5423,владеть умением.n.1,обладать свойством.n.1
5424,владеть.n.1,подчинить своей власти.n.1
5425,вкус.n.1,свойство.n.1
5426,вкус.n.1,ощущать.n.1
5427,вкус.n.2,убеждения.n.1
5428,влачить существование.n.1,образ жизни.n.1
5429,вмазать внутрь.n.1,вставить внутрь.n.1
5430,вмазать внутрь.n.1,закрепить.n.2
5431,властолюбие.n.1,черта характера.n.1
5432,властолюбие.n.1,сильное желание.n.1
5433,властолюбивый человек.n.1,плохой человек.n.1
5434,влюбчивый.n.1,впечатлительный.n.1
5435,прояснить.n.1,изменить.n.1
5436,влиться в ряды.n.1,пополнить.n.1
5437,влиться в ряды.n.1,войти в состав.n.1
5438,свитер с высоким воротником.n.1,свитер.n.1
5439,водомер.n.1,расходомер.n.1
5440,водолечебница.n.1,лечебное учреждение.n.1
5441,водообмен в организме.n.1,обмен веществ.n.1
5442,нагревание воды.n.1,нагреть.n.1
5443,водосброс плотины.n.1,гидротехническое сооружение.n.1
5444,водослив плотины.n.1,водосброс плотины.n.1
5445,возбудить.n.1,предложить.n.2
5446,влажность.n.1,количественный параметр.n.1
5447,виток.n.2,этап процесса.n.1
5448,виварий.n.1,помещение для животных.n.1
5449,взрыть.n.1,копать яму.n.1
5450,взрыть.n.1,рыхление почвы.n.1
5451,воздушный поцелуй.n.1,жест.n.2
5452,возгонка.n.1,изменение агрегатного состояния.n.1
5453,шумная возня.n.1,движение.n.1
5454,возмутитель порядка.n.1,нарушитель правил.n.1
5455,водность водоема.n.1,количественный параметр.n.1
5456,волжанин.n.1,уроженец.n.1
5457,волжанин.n.1,россияне.n.1
5458,волжанин.n.1,население.n.1
5459,волан.n.1,оборка.n.1
5460,пуштуны.n.1,этнические народы.n.1
5461,пуштуны.n.1,афганцы.n.1
5462,пакистанцы.n.1,население государства.n.1
5463,гвинейцы.n.1,население государства.n.1
5464,нигерийцы.n.1,население государства.n.1
5465,оманцы.n.1,арабы.n.1
5466,оманцы.n.1,население государства.n.1
5467,оманцы.n.1,титульный народ.n.1
5468,сенегальцы.n.1,население государства.n.1
5469,суданцы.n.1,население государства.n.1
5470,исламская страна.n.1,иностранное государство.n.1
5471,волокно.n.1,клетка организма.n.1
5472,волочильное производство.n.1,металлообработка.n.1
5473,вытянуть в длину.n.1,удлинить.n.1
5474,волосок.n.1,деталь устройства.n.1
5475,волосок.n.1,нить.n.1
5476,волосок.n.1,проволока.n.1
5477,политический волюнтаризм.n.1,решить.n.2
5478,политический волюнтаризм.n.1,произвол.n.1
5479,своеволие.n.1,черта характера.n.1
5480,своеволие.n.1,поведение.n.1
5481,сводничество.n.1,посредническая деятельность.n.1
5482,сводник.n.1,посредник.n.1
5483,сводник.n.1,человек.n.1
5484,самодур.n.1,сумасброд.n.1
5485,самодурство.n.1,сумасбродный поступок.n.1
5486,самодурство.n.1,недостойное поведение.n.1
5487,нежничать.n.1,ласкать.n.1
5488,вороватый.n.1,опасливый.n.1
5489,воронкообразная форма.n.1,форма.n.1
5490,вольный.n.1,приблизительный.n.1
5491,свободолюбие.n.1,черта характера.n.1
5492,воскресник.n.1,безвозмездный труд.n.1
5493,субботник.n.1,безвозмездный труд.n.1
5494,вахтенный.n.1,человек по роли.n.1
5495,вощина.n.1,остов.n.1
5496,гора-восьмитысячник.n.1,гора.n.1
5497,царствовать.n.1,править.n.1
5498,вступление на престол.n.1,царствовать.n.1
5499,вступление на престол.n.1,вступление в должность.n.1
5500,усвоить информацию.n.1,понять.n.1
5501,усвоить информацию.n.1,узнать.n.1
5502,усвоить информацию.n.1,запомнить.n.1
5503,учить.n.1,запомнить.n.1
5504,учить.n.1,усвоить информацию.n.1
5505,впитать информацию.n.1,усвоить информацию.n.1
5506,вредитель.n.1,противник.n.1
5507,вредитель.n.1,враг.n.1
5508,вредитель.n.1,человек по роли.n.1
5509,вредительство.n.1,преднамеренно вредить.n.1
5510,горно-вскрышные работы.n.1,горные работы.n.1
5511,врубить.n.1,вставить внутрь.n.1
5512,врубить.n.1,закрепить.n.2
5513,вскочить.n.1,появиться.n.2
5514,вскочить.n.1,появиться.n.1
5515,вскочить.n.1,пухнуть.n.1
5516,всепрощение.n.1,простить.n.1
5517,распороть.n.1,резать.n.1
5518,распороть.n.1,рвать.n.1
5519,встретить.n.1,ждать появления.n.1
5520,встретить.n.1,принять.n.1
5521,встретить наступление события.n.1,ждать появления.n.1
5522,встретить наступление события.n.1,празднование.n.1
5523,отдел народного образования.n.1,отдел организации.n.1
5524,отдел народного образования.n.1,территориальный орган власти.n.1
5525,отдел народного образования.n.1,орган управления образованием.n.1
5526,городской отдел народного образования.n.1,отдел народного образования.n.1
5527,районный отдел народного образования.n.1,отдел народного образования.n.1
5528,районный отдел народного образования.n.1,районный отдел.n.1
5529,уголовная ответственность.n.1,ответственность в судебном порядке.n.1
5530,уголовная ответственность.n.1,юридическая ответственность.n.1
5531,материнская плата.n.1,компьютерные аппаратные средства.n.1
5532,материнская плата.n.1,системная плата.n.1
5533,националистическая организация.n.1,общественная организация.n.1
5534,фашистская организация.n.1,националистическая организация.n.1
5535,подводный флот.n.1,военный флот.n.1
5536,гитлеровцы.n.1,военнослужащий.n.1
5537,эсэсовцы.n.1,гитлеровцы.n.1
5538,преступная организация.n.1,организация.n.2
5539,преступная организация.n.1,преступное формирование.n.1
5540,политическая полиция.n.1,органы государственной безопасности.n.1
5541,встряхнуть.n.1,вызвать.n.2
5542,войти.n.1,начать.n.1
5543,войти.n.1,изменение состояния.n.1
5544,вступить.n.1,начать.n.1
5545,вступить.n.1,изменение состояния.n.1
5546,полярные исследования.n.1,исследование.n.1
5547,полярные исследования.n.1,научное исследование.n.1
5548,полярный исследователь.n.1,научный работник.n.1
5549,писатель-сказочник.n.1,писатель.n.1
5550,правовая защита.n.1,оберегать.n.1
5551,правовая защита.n.1,защита прав.n.1
5552,правительство рсфср.n.1,правительство россии.n.1
5553,вульгарный.n.1,упрощенный.n.1
5554,упрощенный.n.1,поверхностный.n.1
5555,упрощенный.n.1,простой.n.1
5556,въезд.n.1,проезд.n.1
5557,выбить.n.1,напрячься.n.1
5558,выбить.n.1,достать.n.1
5559,выборщик на косвенных выборах.n.1,представитель интересов.n.1
5560,выборщик на косвенных выборах.n.1,избиратель.n.1
5561,косвенные выборы.n.1,избирательная система.n.1
5562,косвенные выборы.n.1,выборы.n.1
5563,вывесить для обозрения.n.1,вешать.n.1
5564,вывесить для обозрения.n.1,знакомить.n.2
5565,вывеска с надписью.n.1,пластина.n.1
5566,отклонение в поведении.n.1,поведение.n.1
5567,отклонение в поведении.n.1,отклонение от нормы.n.1
5568,выволочь наружу.n.1,волочить.n.1
5569,выволочь наружу.n.1,вытащить наружу.n.1
5570,выгнить.n.1,гниение.n.1
5571,выгородить место.n.1,отделить часть от целого.n.1
5572,выгородить место.n.1,огородить.n.1
5573,выгородить место.n.1,выделить.n.2
5574,выдавливание на поверхности.n.1,изобразить.n.1
5575,вытиснить.n.1,изобразить.n.1
5576,повышение в статусе.n.1,измениться.n.1
5577,выдвижение кандидата.n.1,предложить.n.2
5578,выдвижение кандидата.n.1,рекомендовать.n.1
5579,выесть середину.n.1,есть.n.1
5580,выезд.n.1,проезд.n.1
5581,выжить.n.1,жить.n.2
5582,выжить.n.1,сохраниться.n.1
5583,выжить.n.1,выдержать.n.2
5584,дозвониться.n.1,ждать появления.n.1
5585,выпендриваться.n.1,возомнить себя.n.1
5586,выпендриваться.n.1,рисовка.n.1
5587,аналитик.n.1,эксперт.n.1
5588,автоматный магазин.n.1,магазин для патронов.n.1
5589,исламский террорист.n.1,исламист.n.1
5590,исламский террорист.n.1,террорист.n.1
5591,управляющий делами.n.1,менеджер.n.1
5592,наркопритон.n.1,преступный притон.n.1
5593,маршрутное такси.n.1,миниавтобус.n.1
5594,маршрутное такси.n.1,автобус.n.1
5595,миниавтобус.n.1,автобус.n.1
5596,столица олимпиады.n.1,город.n.1
5597,баннерная реклама.n.1,рекламная продукция.n.1
5598,баннерная реклама.n.1,реклама по интернету.n.1
5599,торговля по интернету.n.1,торговля.n.1
5600,торговля по интернету.n.1,электронная коммерция.n.1
5601,торговля по интернету.n.1,дистанционная продажа.n.1
5602,автомобиль иностранной марки.n.1,автомобиль.n.1
5603,походная выкладка.n.1,военное снаряжение.n.1
5604,выкуп.n.1,плата.n.2
5605,вылазка в лагерь противника.n.1,напасть.n.1
5606,вылазка в лагерь противника.n.1,выйти.n.1
5607,прогулка на природе.n.1,прогулка.n.1
5608,выделывать.n.1,поступок человека.n.1
5609,выделывать.n.1,отклонение в поведении.n.1
5610,выкачать.n.1,извлечь.n.1
5611,выкачать.n.1,получить в распоряжение.n.1
5612,выехать.n.2,ехать.n.1
5613,выехать.n.2,покинуть место.n.1
5614,выехать.n.2,отправиться в путь.n.1
5615,выманить.n.1,обмануть.n.1
5616,выманить.n.1,получить в распоряжение.n.1
5617,вычеркнуть.n.1,удалить.n.3
5618,вымерзнуть.n.1,мерзнуть.n.1
5619,вымерзнуть.n.1,гибель.n.1
5620,гибель.n.1,исчезнуть.n.1
5621,выносить мысль.n.1,обдумать.n.1
5622,вынашивание беременности.n.1,физиологический процесс.n.1
5623,вынашивание беременности.n.1,пребывать в состоянии.n.1
5624,выпаривание жидкости.n.1,сгустить.n.1
5625,выписать.n.1,писать.n.1
5626,выписать.n.1,вырисовать.n.1
5627,выписать.n.1,вывести.n.2
5628,выдержка из текста.n.1,фрагмент текста.n.1
5629,выпустить.n.1,выдвинуть вперед.n.1
5630,выпустить.n.1,высвободить.n.1
5631,высвободить.n.1,вынуть.n.1
5632,высвободить.n.1,освободить.n.2
5633,выпустить швы.n.1,расширить.n.2
5634,выпустить швы.n.1,удлинить.n.1
5635,выпустить швы.n.1,перешить.n.1
5636,выпутать.n.1,вынуть.n.1
5637,выпутать.n.1,освободить.n.2
5638,распутать спутанное.n.1,делить.n.1
5639,режиссер-мультипликатор.n.1,художник-мультипликатор.n.1
5640,режиссер-мультипликатор.n.1,режиссер.n.1
5641,рок-музыкант.n.1,музыкант.n.1
5642,рок-группа.n.1,ансамбль.n.1
5643,выручить деньги.n.1,получить в распоряжение.n.1
5644,ругательство.n.1,языковое выражение.n.1
5645,вырубка.n.1,место в пространстве.n.1
5646,оторваться.n.1,удалиться на некоторое расстояние.n.1
5647,оторваться.n.1,отделиться от целого.n.1
5648,выразитель мысли.n.1,человек по роли.n.1
5649,выпилить.n.1,вырезать.n.1
5650,вырубить.n.1,изготовить.n.1
5651,высидеть с трудом.n.1,пробыть.n.1
5652,высидеть с трудом.n.1,пребывать в состоянии.n.1
5653,выскочка.n.1,плохой человек.n.1
5654,выскочка.n.1,человек по характеру.n.1
5655,выскочка.n.1,человек по роли.n.1
5656,выставить в плохом свете.n.1,показать.n.2
5657,угодничать.n.1,угодить.n.1
5658,угодничать.n.1,раболепствовать.n.1
5659,угодничать.n.1,заискивать.n.1
5660,вытопить.n.1,изготовить.n.1
5661,вытесать.n.1,изготовить.n.1
