parent,definition,children,translation,label,label1,label2,label3
foreign policy,-,trade policy,Торговая политика,0.0,,0.0,
carnivorous bat,-,vespertilian bat,веспертилийская летучая мышь,1.0,,1.0,
vertebrate paleontology,the paleontology of vertebrates,paleoanthropology,палеоантропология,1.0,,1.0,
geocentric parallax,the parallax of a celestial body using two points on the surface of the earth as the earth rotates,"horizontal parallax,solar parallax","горизонтальный параллакс,солнечный параллакс",1.0,,1.0,
freshwater fish,-,whitefish,белуха,0.0,,0.0,
sword,-,fencing sword,фехтовальный меч,0.0,,0.0,
Sanskrit,-,Magadhan,Магадхан,1.0,,1.0,
woodwork,work made of wood; especially moldings or stairways or furniture,"cabinetwork,joinery,millwork","кабинетная,столярная,мельничная",0.0,,0.0,
nitta tree,any of several Old World tropical trees of the genus Parkia having heads of red or yellow flowers followed by pods usually containing edible seeds and pulp,Parkia javanica,Parkia javanica,1.0,,1.0,
grade,a relative position or degree of value in a graded group,"A level,college level,General Certificate of Secondary Education","Уровень A, уровень колледжа, аттестат об общем среднем образовании",0.0,,0.0,
record,anything (such as a document or a phonograph record or a photograph) providing permanent evidence of or information about past events,"stub,memorabilia,working papers","заглушка,памятные вещи,рабочие документы",1.0,,1.0,
price,the amount of money needed to purchase something,"bid price,spot price,closing price,factory price,highway robbery,purchase price,support level,valuation","цена предложения,спотовая цена, цена закрытия,заводская цена, ограбление шоссе, цена покупки, уровень поддержки,оценка",1.0,,1.0,
swimming,-,skin diving,дайвинг с кожей,1.0,,1.0,
waiter,a person whose occupation is to serve at table (as in a restaurant),"carhop,sommelier","carhop,сомелье",0.0,,0.0,
El Salvadoran monetary unit,monetary unit in El Salvador,colon,двоеточие,1.0,,1.0,
layer,a relatively thin sheetlike expanse or region lying over or under another,"asthenosphere,cell wall,chromosphere,exosphere,lithosphere,hydrosphere,lower mantle,mantle,mesosphere,ozone layer,stratosphere,thermosphere,tropopause,troposphere,upper mantle","астеносфера,клеточная стенка,хромосфера,экзосфера,литосфера,гидросфера,нижняя мантия,мантия,мезосфера,озоновый слой,стратосфера,термосфера,тропопауза,тропосфера,верхняя мантия",1.0,,1.0,
flight maneuver,-,roll,крен,1.0,,1.0,
naval officer,an officer in the navy,naval commander,командующий военно-морским флотом,0.0,,0.0,
cloth covering,-,leg,нога,0.0,,0.0,
animal foot,-,paw,paw,0.0,,0.0,
rail technology,the activity of designing and constructing and operating railroads,magnetic levitation,магнитная левитация,1.0,,1.0,
sect,a subdivision of a larger religious group,"Abecedarian,Albigenses,Amish sect,brethren,Hare Krishna,Haredi,High Church,Jainism,Karaites,Kokka Shinto,Religious Society of Friends,Shaktism,Shakers,Shiah,Shivaism,Shuha Shinto,sisterhood,Sunni,Taoism,Vaishnavism,Waldenses,Zurvanism",,1.0,,1.0,
organelle,-,mitochondrion,,1.0,,1.0,
social anthropologist,an anthropologist who studies such cultural phenomena as kinship systems,ritualist,,1.0,,1.0,
practicability,the quality of being usable,feasibility,,0.0,,0.0,
dungeon,a dark cell (usually underground) where prisoners can be confined,oubliette,,0.0,,0.0,
tender,a boat for communication between ship and shore,gig,,1.0,,1.0,
explosive,-,low explosive,,1.0,,1.0,
fritillary,any liliaceous plant of the genus Fritillaria having nodding variously colored flowers,"adobe lily,mission bells,brown bells,snake's head fritillary",,1.0,,1.0,
trumpeter,large gregarious crane-like bird of the forests of South America having glossy black plumage and a loud prolonged cry; easily domesticated,Brazilian trumpeter,,1.0,,1.0,
spermatophyte,-,gymnosperm,,1.0,,1.0,
aeronautics,the theory and practice of navigation through air or space,avionics,,0.0,,0.0,
supernaturalism,a belief in forces beyond ordinary human understanding,"exorcism,occultism",,0.0,,0.0,
sago,powdery starch from certain sago palms; used in Asia as a food thickener and textile stiffener,pearl sago,,1.0,,1.0,
face,the part of an animal corresponding to the human face,muzzle,,0.0,,0.0,
head,the striking part of a tool,golf-club head,,0.0,,0.0,
world power,a state powerful enough to influence events throughout the world,hegemon,,1.0,,1.0,
franchise,a statutory right or privilege granted to a person or group by a government (especially the rights of citizenship and the right to vote),right to vote,,0.0,,0.0,
invertebrate,-,worm,,1.0,,1.0,
decay,an inferior state resulting from the process of decaying,rancidity,,1.0,,1.0,
advice,-,recommendation,,0.0,,0.0,
packrat,any of several bushy-tailed rodents of the genus Neotoma of western North America; hoards food and other objects,dusky-footed woodrat,,1.0,,1.0,
pack animal,an animal (such as a mule or burro or horse) used to carry loads,packhorse,,1.0,,1.0,
tetrapod,a vertebrate animal having four feet or legs or leglike appendages,quadruped,,1.0,,1.0,
time signature,a musical notation indicating the number of beats to a measure and kind of note that takes a beat,alla breve,,1.0,,1.0,
sago,powdery starch from certain sago palms; used in Asia as a food thickener and textile stiffener,pearl sago,,1.0,,1.0,
calamity,-,famine,,0.0,,0.0,
seamount,an underwater mountain rising above the ocean floor,guyot,,1.0,,1.0,
waterwheel,a wheel that rotates by direct action of water; a simple turbine,millwheel,,0.0,,0.0,
pudding,any of various soft thick unsweetened baked dishes,carrot pudding,,0.0,,0.0,
sister,a female person who is a fellow member of a sorority or labor union or other group,Beguine,,1.0,,1.0,
washer,seal consisting of a flat disk placed to prevent leakage,lockring,,1.0,,1.0,
lumber,-,strip,,1.0,,1.0,
greens,-,sprout,,0.0,,0.0,
sumac,a shrub or tree of the genus Rhus (usually limited to the non-poisonous members of the genus),"dwarf sumac,fragrant sumac,smooth sumac,sugar-bush,squawbush,staghorn sumac",,1.0,,1.0,
unconsciousness,-,unknowingness,,0.0,,0.0,
toiletry,-,toothbrush,,0.0,,0.0,
shooting,killing someone by gunfire,drive-by killing,,0.0,,0.0,
diving board,a springboard from which swimmers can dive,highboard,,1.0,,1.0,
open-end credit,-,credit card,,0.0,,0.0,
handwear,-,glove,,0.0,,0.0,
margarine,a spread made chiefly from vegetable oils and used as a substitute for butter,stick,,0.0,,0.0,
"solvent,methane series",a liquid substance capable of dissolving other substances,hexane,,1.0,,1.0,
roast,-,veal roast,,0.0,,0.0,
houseplant,-,gloxinia,,0.0,,0.0,
caprimulgiform bird,-,goatsucker,,1.0,,1.0,
fund,-,mutual fund,,1.0,,1.0,
occupation,the principal activity in your life that you do to earn money,"appointment,game,catering,confectionery,farming,metier,photography,treadmill",,0.0,,0.0,
drawstring,a tie consisting of a cord that goes through a seam around an opening,purse string,,0.0,,0.0,
mural,a painting that is applied to a wall surface,fresco,,0.0,,0.0,
octopod,a cephalopod with eight arms but lacking an internal shell,"paper nautilus,octopus",,1.0,,1.0,
turtle,any of various aquatic and land reptiles having a bony shell and flipper-like limbs for swimming,"painted turtle,cooter,red-bellied terrapin,slider",,1.0,,1.0,
technique,-,emulation,,1.0,,1.0,
lowering,the act of causing to become less,tapering,,1.0,,1.0,
green tea,tea leaves that have been steamed and dried without fermenting,hyson,,1.0,,1.0,
diagram,-,schematic,,0.0,,0.0,
electrode,-,cathode,,1.0,,1.0,
wetness,-,humidity,,0.0,,0.0,
cedar,any cedar of the genus Cedrus,Atlas cedar,,1.0,,1.0,
supervisor,-,taskmaster,,0.0,,0.0,
cricketer,-,fielder,,1.0,,1.0,
punctuation,the use of certain marks to clarify meaning of written material by grouping words grammatically into sentences and clauses and phrases,hyphenation,,1.0,,1.0,
tapeworm,ribbonlike flatworms that are parasitic in the intestines of humans and other vertebrates,echinococcus,,1.0,,1.0,
coreopsis,any of numerous plants of the genus Coreopsis having a profusion of showy usually yellow daisylike flowers over long periods; North and South America,calliopsis,,1.0,,1.0,
crux,the most important point,alpha and omega,,0.0,,0.0,
pessimist,a person who expects the worst,defeatist,,0.0,,0.0,
aldol,an oily colorless liquid obtained by the condensation of two molecules of acetaldehyde; contains an alcohol group (-OH) and an aldehyde group (-CHO),acetaldol,,1.0,,1.0,
murder,-,parricide,,0.0,,0.0,
private detective,someone who can be employed as a detective to collect information,hotel detective,,1.0,,1.0,
riot,a public act of violence by an unruly mob,race riot,,0.0,,0.0,
self-pollination,fertilization by transfer of pollen from the anthers to the stigma of the same flower,cleistogamy,Клейстогамия,1.0,1.0,1.0,1.0
gonadotropin,hormone secreted by the anterior pituitary gland and placenta; stimulates the gonads and controls reproductive activity,"follicle-stimulating hormone,human chorionic gonadotropin,luteinizing hormone,prolactin","фолликулостимулирующий гормон,хорионический гонадотропин человека,лютеинизирующий гормон,пролактин",1.0,1.0,1.0,1.0
sugar,-,granulated sugar,сахарный песок,0.0,0.0,0.0,0.0
mixture,-,suspension,суспензией,1.0,1.0,0.0,1.0
rail technology,the activity of designing and constructing and operating railroads,magnetic levitation,магнитная левитация,1.0,1.0,1.0,1.0
electromagnet,a temporary magnet made by coiling wire around an iron core; when current flows in the coil the iron becomes a magnet,magnetic head,Срок службы магнитной  головки,1.0,1.0,1.0,1.0
naval officer,an officer in the navy,naval commander,командующий военно-морским флотом,1.0,1.0,0.0,1.0
nursery,a child's room for a baby,day nursery,day-nursery,0.0,0.0,0.0,0.0
sonnet,a verse form consisting of 14 lines with a fixed rhyme scheme,Shakespearean sonnet,Шекспировский сонет,1.0,1.0,1.0,1.0
quad,(printing) a block of type without a raised letter; used for spacing between words or sentences,hair space,пространство для волос,1.0,1.0,1.0,1.0
chaos,a state of extreme confusion and disorder,balagan,балаган,0.0,0.0,0.0,0.0
worker,sterile member of a colony of social insects that forages for food and cares for the larvae,soldier,солдат,0.0,0.0,0.0,0.0
reference book,-,wordbook,wordbook,0.0,1.0,0.0,0.0
sweet pickle,pickle cured in brine and preserved in sugar and vinegar,bread and butter pickle,,1.0,1.0,1.0,0.0
storage medium,a medium for storing information,magnetic storage medium,,1.0,1.0,1.0,1.0
electromagnet,a temporary magnet made by coiling wire around an iron core; when current flows in the coil the iron becomes a magnet,magnetic head,Срок службы магнитной  головки,1.0,1.0,1.0,1.0
hand shovel,-,spade,,0.0,1.0,0.0,0.0
heavier-than-air craft,-,warplane,,1.0,1.0,1.0,0.0
scale,an ordered reference standard,"Beaufort scale,logarithmic scale,Mercalli scale,Mohs scale,moment magnitude scale,Richter scale","Шкала Бофорта,логарифмическая шкала, шкала Меркалли, шкала Мооса, шкала величины момента, шкала Рихтера",1.0,1.0,1.0,1.0
kidney disease,a disease affecting the kidneys,"nephrosclerosis,polycystic kidney disease,polyuria,renal insufficiency","нефросклероз,поликистоз почек,полиурия,почечная недостаточность",1.0,1.0,1.0,1.0
antiferromagnetism,magnetic field creates parallel but opposing spins; varies with temperature,ferrimagnetism,ферримагнетизм,1.0,1.0,1.0,1.0
mooring,(nautical) a line that holds an object (especially a boat) in place,headfast,headfast,1.0,1.0,1.0,1.0
diffraction grating,optical device consisting of a surface with many parallel grooves in it; disperses a beam of light (or other electromagnetic radiation) into its wavelengths to produce its spectrum,echelon,Левый пеленг,1.0,1.0,1.0,1.0
sole,lean flesh of any of several flatfish,lemon sole,,1.0,1.0,1.0,1.0
necktie,-,bow tie,,0.0,0.0,0.0,0.0
auxiliary verb,"a verb that combines with another verb in a verb phrase to help form tense, mood, voice, or condition of the verb it combines with",modal auxiliary verb,модальный вспомогательный глагол,1.0,1.0,1.0,1.0
sailor,-,mariner,,0.0,0.0,0.0,1.0
scientific instrument,-,magnifier,,0.0,0.0,1.0,0.0
fish species,a species of fish,barramundi,,1.0,1.0,1.0,1.0
dry unit,-,United States dry unit,,1.0,1.0,1.0,1.0
game of chance,a game that involves gambling,"banking game,fantan,roulette",,1.0,1.0,1.0,0.0
self-control,the trait of resolutely controlling your own behavior,"nerves,presence of mind",,0.0,0.0,0.0,0.0
shading,graded markings that indicate light or shaded areas in a drawing or painting,hatch,люк,1.0,1.0,1.0,0.0
carbonate,-,potassium carbonate,Карбонат калия,1.0,1.0,1.0,1.0
calcium,a white metallic element that burns with a brilliant light; the fifth most abundant element in the earth's crust; an important component of most plants and animals,calcium ion,Кальций,1.0,1.0,1.0,1.0
opportunity,-,occasion,. .,0.0,0.0,0.0,0.0
packing,the enclosure of something in a package or box,bundling,интеграция,0.0,1.0,0.0,0.0
lobster,flesh of a lobster,"American lobster,European lobster","Американский омар,европейский омар",1.0,1.0,1.0,1.0
upper,piece of leather or synthetic material that forms the part of a shoe or boot above the sole that encases the foot,toe box,Лёгкая обувь,1.0,1.0,1.0,1.0
negotiator,-,representative,представителем.,0.0,0.0,0.0,0.0
water,binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent,"bath water,bilge,dishwater,distilled water,ground water,hard water,holy water,limewater,meltwater,slush,soft water,tap water,water of crystallization",,1.0,1.0,1.0,0.0
decree,-,stay,побыть,0.0,0.0,0.0,0.0
question,a sentence of inquiry that asks for a reply,"cross-question,leading question,yes-no question",,0.0,0.0,0.0,0.0
domestic animal,-,domestic cat,,1.0,1.0,1.0,0.0
claimant,someone who claims a benefit or right or title,Pretender,Претендент,0.0,0.0,0.0,0.0
Catholicism,the beliefs and practices of a Catholic Church,"Eastern Catholicism,Romanism","Восточный католицизм,романизм",1.0,1.0,1.0,0.0
copper,any of various small butterflies of the family Lycaenidae having coppery wings,American copper,Американская медь,1.0,1.0,1.0,1.0
cytopenia,a deficiency of some cellular element of the blood,"hematocytopenia,pancytopenia",,1.0,1.0,1.0,1.0
punishment,-,self-punishment,,0.0,0.0,0.0,0.0
window shade,an opaque window blind that can cover or uncover a window,roller blind,,0.0,0.0,0.0,0.0
receiver,set that receives radio or tv signals,"television receiver,satellite receiver",,0.0,1.0,0.0,0.0
secretion,a functionally specialized substance (especially one that is not a waste) released from a gland or cell,"ganoin,intestinal juice,lacrimal secretion,musk,nectar,perspiration,pheromone,royal jelly,synovia","ганоин,кишечный сок,слезная секреция,мускус,нектар,пот,феромон,маточное молочко,синовия",1.0,1.0,1.0,1.0
acetic acid,a colorless pungent liquid widely used in manufacturing plastics and pharmaceuticals,"acetum,trichloroacetic acid,vinegar",,1.0,1.0,1.0,1.0
restaurant,-,teashop,чайник,0.0,0.0,0.0,0.0
intelligibility,the quality of language that is comprehensible,readability,,0.0,0.0,0.0,0.0
adjective,a word that expresses an attribute of something,"comparative,descriptive adjective,positive,superlative",,1.0,1.0,1.0,1.0
playing card,-,suit,костюм,0.0,0.0,0.0,0.0
margin,an amount beyond the minimum necessary,margin of safety,ПРОЧНАЯ ПРИБЫЛЬ ,1.0,1.0,0.0,1.0
storage medium,a medium for storing information,magnetic storage medium,магнитный носитель информации,1.0,1.0,1.0,1.0
compromise verdict,a verdict resulting from improper compromises between jurors on material issues,quotient verdict,,1.0,1.0,1.0,1.0
woman's clothing,-,top,верх,0.0,0.0,0.0,0.0
polymorphism,(chemistry) the existence of different kinds of crystal of the same chemical compound,dimorphism,,1.0,1.0,1.0,1.0
trope,-,zeugma,,1.0,1.0,1.0,1.0
thing,an event,feast,пир,0.0,0.0,0.0,0.0
hymenopterous insect,-,wasp,wasp,1.0,1.0,1.0,0.0
pace,the rate of moving (especially walking or running),"double time,quick time",,1.0,1.0,1.0,0.0
coefficient,-,modulus,,1.0,1.0,1.0,1.0
"performing arts,performance",arts or skills that require public performance,musical performance,Музыкальное представление,0.0,0.0,1.0,0.0
sailing vessel,-,sloop,,1.0,1.0,1.0,0.0
lactogen,any agent that enhances milk production,prolactin,,1.0,1.0,1.0,1.0
arrogance,-,snobbery,Сноб,0.0,0.0,0.0,0.0
appellate court,a court whose jurisdiction is to review decisions of lower courts or agencies,circuit court of appeals,окружной апелляционный суд,0.0,1.0,0.0,0.0
illness,-,toxemia of pregnancy,"GESTOZ, OPG",1.0,1.0,1.0,1.0
program,an announcement of the events that will occur as part of a theatrical or sporting event,racecard,гоночная карта,0.0,1.0,0.0,0.0
fur seal,an eared seal of the northern Pacific,Alaska fur seal,Морской котик Аляски,1.0,1.0,1.0,1.0
rescue,-,redemption,выкуп,0.0,0.0,0.0,0.0
fang,an appendage of insects that is capable of injecting venom; usually evolved from the legs,toxicognath,toxicognath,1.0,1.0,1.0,1.0
nerve,-,spinal nerve,SPINNOMOZGOVYE NERVY,1.0,1.0,1.0,1.0
green tea,tea leaves that have been steamed and dried without fermenting,hyson,hyson,1.0,1.0,1.0,1.0
safety belt,belt attaching you to some object as a restraint in order to prevent you from getting hurt,seat belt,,0.0,0.0,0.0,0.0
crane,large long-necked wading bird of marshes and plains in many parts of the world,whooping crane,колючий кран,1.0,1.0,1.0,0.0
stonework,masonry done with stone,cyclopean masonry,Циклопическая кладка,1.0,1.0,1.0,1.0
burial chamber,-,vault,,0.0,0.0,0.0,0.0
infantry,an army unit consisting of soldiers who fight on foot,paratroops,десантники,0.0,0.0,0.0,1.0
dilator,a drug that causes dilation,vasodilator,SOSUDORASSHIRIAIUSHCHIE SREDSTVA,1.0,1.0,1.0,1.0
aquatic fern,-,clover fern,клеверный папоротник,1.0,1.0,1.0,1.0
coordinate axis,one of the fixed reference lines of a coordinate system,"x-axis,y-axis,z-axis","ось x,ось y,ось z",1.0,1.0,1.0,1.0
plastic bag,a bag made of thin plastic material,bin liner,,0.0,0.0,0.0,0.0
scarabaeid beetle,-,melolonthid beetle,жук-мелолонтид,1.0,1.0,1.0,1.0
hydroxybutyric acid,hydroxy derivative of butyric acid,beta-hydroxybutyric acid,3-GIDROKSIBUTIRAT,1.0,1.0,1.0,1.0
gnat,any of various small biting flies: midges; biting midges; black flies; sand flies,"punkie,blackfly","панк,черная муха",1.0,1.0,1.0,1.0
bile acid,any of the steroid acids generated in the liver and stored with bile,cholic acid,,1.0,1.0,1.0,1.0
business department,a division of a business firm,"advertising department,plant department,parts department,purchasing department,sales department,service department","отдел рекламы,заводской отдел, отдел запчастей, отдел закупок, отдел продаж, отдел обслуживания",0.0,0.0,0.0,0.0
stripe,a narrow marking of a different color or texture from the background,band,музыкальная группа,0.0,0.0,0.0,0.0
hieroglyph,a writing system using picture symbols; used in ancient Egypt,hieratic,Иератическое письмо,1.0,1.0,1.0,1.0
gift,-,present,,0.0,0.0,0.0,0.0
nitta tree,any of several Old World tropical trees of the genus Parkia having heads of red or yellow flowers followed by pods usually containing edible seeds and pulp,Parkia javanica,Parkia javanica,1.0,1.0,1.0,1.0
rifleman,a soldier whose weapon is a rifle,carbineer,Карабинер,1.0,1.0,1.0,1.0
cruiser,a large fast warship; smaller than a battleship and larger than a destroyer,battle cruiser,линейный крейсер,1.0,1.0,0.0,1.0
"index,margin",a numerical scale used to compare variables with one another or with some reference number,margin of safety,ПРОЧНАЯ ПРИБЫЛЬ ,1.0,1.0,1.0,1.0
ink-jet printer,a printer that produces characters by projecting electrically charged droplets of ink,bubble jet printer,пузырьковый струйный принтер,1.0,1.0,1.0,0.0
headdress,-,jewelled headdress,украшенный драгоценными камнями головной убор,0.0,1.0,0.0,0.0
"bomber,stealth aircraft",a military aircraft that drops bombs during flight,stealth bomber,бомбардировщик-невидимка,1.0,1.0,1.0,1.0
dungeon,a dark cell (usually underground) where prisoners can be confined,oubliette,,0.0,0.0,0.0,0.0
bow,"a weapon for shooting arrows, composed of a curved piece of resilient wood with a taut cord to propel the arrow","crossbow,Cupid's bow,handbow,longbow","арбалет, лук купидона, ручной лук,длинный лук",1.0,1.0,1.0,0.0
news item,an item in a newspaper,factoid,Фактоид,1.0,1.0,1.0,0.0
reveler,a celebrant who shares in a noisy party,roisterer,roisterer,0.0,0.0,1.0,0.0
honoring,conformity with law or custom or practice etc.,punctilio,punctilio,0.0,0.0,0.0,0.0
possibility,a possible alternative,possible,возможно,0.0,0.0,0.0,0.0
band,a range of frequencies between two limits,frequency band,диапазон частот,1.0,1.0,1.0,1.0
monstera,any plant of the genus Monstera; often grown as houseplants,ceriman,,1.0,1.0,1.0,1.0
"croquet equipment,mallet",sports equipment used in playing croquet,croquet mallet,,0.0,1.0,0.0,0.0
handbook,-,manual,,0.0,0.0,0.0,0.0
physique,-,body type,тип кузова,0.0,0.0,0.0,0.0
instability,the quality or attribute of being unstable and irresolute,shakiness,,0.0,0.0,0.0,
record,an extreme attainment; the best (or worst) performance ever attested (as in a sport),"track record,world record",,0.0,0.0,0.0,0.0
traffic control,control of the flow of traffic in a building or a city,point duty,точечная пошлина,1.0,1.0,0.0,1.0
electrical phenomenon,-,induction,,1.0,1.0,1.0,1.0
T cell,a small lymphocyte developed in the thymus; it orchestrates the immune system's response to infected or malignant cells,helper T cell,KHELPERY-INDUKTORY T-LIMFOTSITY,1.0,1.0,1.0,1.0
hamburger,"a sandwich consisting of a fried cake of minced beef served on a bun, often with other ingredients",cheeseburger,,0.0,0.0,0.0,0.0
large intestine,beginning with the cecum and ending with the rectum; includes the cecum and the colon and the rectum; extracts moisture from food residues which are later excreted as feces,colon,двоеточие,1.0,1.0,1.0,1.0
fiction,-,story,,0.0,0.0,0.0,0.0
crepe,a soft thin light fabric with a crinkled surface,"Canton crepe,crepe de Chine,marocain","Креп кантонский,креп китайский,марокканский",1.0,1.0,1.0,1.0
spiderflower,any of various often strong-smelling plants of the genus Cleome having showy spider-shaped flowers,"spider flower,Rocky Mountain bee plant","цветок паука, пчелиное растение Скалистых гор",1.0,1.0,1.0,1.0
workbasket,container for holding implements and materials for work (especially for sewing),sewing basket,швейная корзина,0.0,0.0,0.0,0.0
train fare,the fare charged for traveling by train,subway fare,стоимость проезда в метро,0.0,0.0,0.0,0.0
endocarditis,inflammation of the endocardium and heart valves,subacute bacterial endocarditis,ENDOKARDIT BASTERIAL&apos;NYI PODOSTRYI,1.0,1.0,1.0,1.0
associate degree,a degree granted by a two-year college on successful completion of the undergraduates course of studies,Associate in Arts,,0.0,0.0,0.0,0.0
gluten,a protein substance that remains when starch is removed from cereal grains; gives cohesiveness to dough,"corn gluten,wheat gluten",,0.0,1.0,0.0,0.0
coraciiform bird,-,roller,,1.0,1.0,1.0,1.0
analgesic,-,morphine,MORFIN,1.0,1.0,1.0,1.0
major tranquilizer,-,diphenylbutyl piperidine,дифенилбутилпиперидин,1.0,1.0,1.0,1.0
representation,the act of representing; standing in for someone or some group and speaking with authority in their behalf,proportional representation,Пропорциональное представительство,1.0,1.0,1.0,1.0
unexchangeability,the quality of being incapable of exchange or interchange,incommutability,некоммутируемость,1.0,1.0,1.0,0.0
mansard,a hip roof having two slopes on each side,French roof,Французская крыша,1.0,1.0,0.0,1.0
Chemakuan,a group of Mosan languages spoken in Washington,Chemakum,Chemakum,1.0,1.0,1.0,1.0
gastroenteritis,inflammation of the stomach and intestines; can be caused by Salmonella enteritidis,"cholera infantum,cholera morbus",,1.0,1.0,1.0,1.0
physiological property,-,inanimateness,,0.0,0.0,0.0,0.0
"analgesic,opiate",a medicine used to relieve pain,morphine,MORFIN,1.0,1.0,1.0,1.0
Bahrainian monetary unit,monetary unit in Bahrain,Bahrain dinar,,1.0,1.0,1.0,1.0
blockage,an obstruction in a pipe or tube,"breechblock,vapor lock","затвор,паровой шлюз",1.0,1.0,1.0,1.0
"enzyme,coagulase",any of several complex proteins that are produced by cells and act as catalysts in specific biochemical reactions,rennin,KHIMOZIN,1.0,1.0,1.0,1.0
protoplasm,-,cytoplasm,,1.0,1.0,1.0,1.0
milk,produced by mammary glands of female mammals for feeding their young,colostrum,,1.0,1.0,1.0,0.0
"tumor,angiopathy",an abnormal new mass of tissue that serves no purpose,angioma,,1.0,1.0,1.0,1.0
comb,any of several tools for straightening fibers,hatchel,hatchel,1.0,1.0,1.0,1.0
timekeeping,the act or process of determining the time,anachronism,,1.0,1.0,1.0,1.0
baseball coach,a coach of baseball players,"batting coach,pitching coach",,1.0,1.0,1.0,0.0
life science,-,medical science,MEDITSINA,0.0,0.0,0.0,1.0
rug,-,shag rug,,0.0,0.0,0.0,0.0
folk song,-,blues,,0.0,0.0,0.0,0.0
psychoactive drug,-,hallucinogen,ПСИХОДИСЛЕПТИЧЕСКИЕ ВЕЩЕСТВА,0.0,1.0,0.0,0.0
ineffectiveness,lacking the power to be effective,inefficacy,неэффективность,0.0,0.0,0.0,0.0
order of the day,the order of business for an assembly on a given day,order paper,бумага для заказа,1.0,1.0,1.0,0.0
hamburger,"a sandwich consisting of a fried cake of minced beef served on a bun, often with other ingredients",cheeseburger,Чизбургер,0.0,0.0,0.0,0.0
"adjective,adverb",a word that expresses an attribute of something,superlative,превосходная степень,1.0,0.0,1.0,1.0
crackle,the sharp sound of snapping noises,decrepitation,,1.0,1.0,1.0,1.0
oppression,a feeling of being oppressed,weight,Масса,0.0,0.0,0.0,0.0
train fare,the fare charged for traveling by train,subway fare,стоимость проезда в метро,0.0,0.0,0.0,0.0
"paper,roofing material",a material made of cellulose pulp derived mainly from wood or rags or certain grasses,roofing paper,кровельная бумага,1.0,1.0,1.0,0.0
common sense,sound practical judgment,logic,алгоритм,0.0,0.0,0.0,0.0
genetic code,the ordering of nucleotides in DNA molecules that carries the genetic information in living cells,triplet code,,1.0,1.0,1.0,1.0
meat pie,-,pasty,,0.0,0.0,0.0,0.0
opiate,-,morphine,,1.0,1.0,1.0,1.0
Iroquois,any member of the warlike North American Indian peoples formerly living in New York State; the Iroquois League were allies of the British during the American Revolution,"Cayuga,Cherokee,Erie,Mohawk,Oneida,Onondaga,Seneca,Tuscarora","Каюга,Чероки,Эри,Мохок,Онейда,Онондага,Сенека,Тускарора",1.0,1.0,1.0,1.0
"military vehicle,tracked vehicle",vehicle used by the armed forces,half track,полугусеничный ход ,1.0,1.0,1.0,1.0
thrombocytopenia,a blood disease characterized by an abnormally small number of platelets in the blood,essential thrombocytopenia,эссенциальная тромбоцитопения,1.0,1.0,1.0,1.0
water rat,any of various amphibious rats,beaver rat,,1.0,1.0,1.0,0.0
"poet,laureate",a writer of poems (the term is usually reserved for writers of good poetry),poet laureate,поэт-лауреат,0.0,0.0,0.0,0.0
adverb,a word that modifies something other than a noun,"adverbial,comparative,positive,superlative",,1.0,1.0,1.0,1.0
depository financial institution,-,thrift institution,сберегательное учреждение,0.0,1.0,0.0,0.0
conserve,-,marmalade,,0.0,0.0,0.0,0.0
social dancing,-,folk dancing,,0.0,0.0,1.0,0.0
support column,a column that supports a heavy weight,lally,lally,1.0,1.0,0.0,1.0
cabaret,a spot that is open late at night and that provides entertainment (as singers or dancers) as well as dancing and food and drink,honkytonk,,1.0,1.0,1.0,0.0
timekeeping,the act or process of determining the time,anachronism,Анахронизм,1.0,1.0,1.0,1.0
killifish,small mostly marine warm-water carp-like schooling fishes; used as bait or aquarium fishes or in mosquito control,"flagfish,mummichog","рыба-флаг,мумие",1.0,1.0,1.0,1.0
anger,a strong emotion; a feeling that is oriented toward some real or supposed grievance,"dander,infuriation,huffiness,umbrage","перхоть,ярость,шумиха,умбраж",0.0,0.0,0.0,0.0
"conductor,noble metal",a substance that readily conducts e.g. electricity and heat,silver,,1.0,1.0,1.0,0.0
storage space,-,cupboard,посудный шкаф,0.0,0.0,0.0,0.0
weight,an artifact that is heavy,"makeweight,paperweight,sinker",,0.0,1.0,0.0,0.0
processional march,a march to be played for processions,funeral march,,0.0,0.0,0.0,0.0
theism,-,polytheism,,1.0,1.0,1.0,0.0
perfidy,betrayal of a trust,insidiousness,,0.0,0.0,0.0,0.0
tightening,the act of making something tighter,take-up,ПРИЕМНОЕ УСТРОЙСТВО,0.0,0.0,0.0,0.0
"gas,propellant",a fluid in the gaseous state having neither independent shape nor volume and being able to expand indefinitely,compressed gas,компримируемый газ,1.0,1.0,0.0,1.0
drop,a central depository where things can be left or picked up,maildrop,MailDrop,0.0,0.0,0.0,0.0
frozen dessert,-,split,,0.0,1.0,0.0,0.0
chamois,a soft suede leather formerly from the skin of the chamois antelope but now from sheepskin,wash leather,,1.0,1.0,1.0,0.0
unsaturated fatty acid,-,polyunsaturated fatty acid,,1.0,1.0,1.0,1.0
rule,prescribed guide for conduct or action,"bylaw,canon,dictate,GIGO,golden rule,Miranda rule,rubric",,1.0,1.0,1.0,1.0
